	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_full	first_gradient_norm_wt_scaled	first_gradient_norm_wt_rel	first_gradient_norm_wt_rel_full	first_gradient_norm_all	first_gradient_norm_full	first_gradient_norm_sub	loss_error	loss_error_wt	loss_error_wt_scaled	loss_error_wt_rel	loss_error_all	loss_error_sub
0	2.2951571577707925	2.2956426486968993	11.37	11.391666665140788	1597.404259876719	1.1538978854229773	0	1388.10230201415	0.00041569236149945115	0	2775.8457751321966	0	2775.4873795734075	68801.328125	2.0	68855.71875	1.4523332538374234e-05	137709.4375	137707.4375
1	0.7106241452217102	0.6951050561904907	86.38	85.62166665852864	1597.3774897191897	0.9246659993540044	0	1388.03256097305	0.0003331114457476744	0	2775.845775213684	0	2775.6267191883207	68801.75	2.109375	68855.7734375	1.53175769810332e-05	137709.4375	137707.328125
2	0.38870396180152894	0.3739495808124542	90.36	89.76333332519532	430.2795111614289	9.635437643830016	0	482.82034885940584	0.009941172203887752	0	969.2456227709073	0	972.9326197687112	12875.51171875	6.83203125	21322.142578125	0.000160235445946455	42637.453125	42630.62109375
3	0.30386302331288656	0.29454290409088135	91.66	91.40999999593099	216.10621527610414	4.807421995175469	0	162.0401916626375	0.014912159853985064	0	322.3826757658283	0	320.74804261074905	2974.578125	2.68359375	11662.4609375	0.00011506587179610506	23322.23828125	23319.5546875
4	0.2570736431280772	0.2543597752571106	92.85	92.755	113.4666338915632	2.1305703584802504	0	178.2059927509878	0.005971019410412763	0	356.81852830101064	0	357.23731551134193	1306.22265625	4.109375	9117.9453125	0.00022539624478667974	18231.78125	18227.671875
5	0.22238418208758037	0.222723273062706	93.7	93.66499999186198	173.9067254958366	2.008673136716103	0	233.22386870731768	0.004302674931139003	0	466.84287538876833	0	467.2463143848368	854.251953125	3.0966796875	7713.7578125	0.00020076475630048662	15424.4189453125	15421.322265625
6	0.19299186395804088	0.1963295291185379	94.37	94.60333332926432	209.18734143836494	1.482065065279548	0	348.4170013721709	0.002128054560578954	0	696.4412909020249	0	696.0515130734468	699.115234375	7.146484375	6675.0986328125	0.000535595987457782	13343.05078125	13335.904296875
7	0.16849292758703233	0.17415063509345055	95.07	95.26999999593099	85.4761757123117	0.7853963407882172	0	247.36341681349995	0.0015868358385583018	0	494.94492228117207	0	495.1641605061665	458.1611328125	2.62109375	5791.06640625	0.00022635616187471896	11579.51171875	11576.890625
8	0.15069933577775954	0.1587387827336788	95.35	95.78833333333333	45.84074383422666	0.8851873069586825	0	201.82401755604533	0.002193227509698038	0	403.6003118894649	0	403.5545246647073	332.4404296875	1.0107421875	5055.29296875	9.99787007458508e-05	10109.5751953125	10108.564453125
9	0.12953678776820501	0.14036557540595532	95.92	96.48833332519531	86.04118495550462	0.7150778982836297	0	304.58904535873575	0.0011736851771288316	0	609.2586940843148	0	609.3401258705726	285.86328125	0.9140625	4521.43701171875	0.00010109118738910183	9041.9599609375	9041.0458984375
10	0.11668221955100695	0.12795564039349555	96.24	96.90333332926433	43.47933096909922	0.5991176053924103	0	144.95847602385635	0.0020650927252457867	0	290.11656380761474	0	290.3172746481511	229.42724609375	0.8388671875	3886.52294921875	0.00010793165711220354	7772.20703125	7771.3681640625
11	0.10377147400180499	0.11757971114814282	96.57	97.25666665852864	41.27195391577029	0.35148915288299937	0	269.1861225206241	0.0006526794463742753	0	538.5325902869629	0	538.6931171095802	185.5419921875	0.6240234375	3500.77880859375	8.913431520340964e-05	7000.93359375	7000.3095703125
12	0.09289986324111621	0.11152961205393076	96.67	97.59499999593099	24.55522260160895	0.4076606680574294	0	198.46680368933696	0.0010271246627768435	0	396.89502436375545	0	396.85685633272516	148.89794921875	0.59228515625	3113.4404296875	9.512651740806177e-05	6226.28857421875	6225.6962890625
13	0.08228812444607417	0.1033883102208376	96.91	97.89833332519531	36.01112537564903	0.34994673170742	0	195.09025157429346	0.0008968122405724579	0	390.21181455333414	0	390.24343723946436	134.00830078125	0.4931640625	2787.242431640625	8.84759210748598e-05	5573.99169921875	5573.49853515625
