	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_full	first_gradient_norm_wt_scaled	first_gradient_norm_wt_rel	first_gradient_norm_wt_rel_full	first_gradient_norm_all	first_gradient_norm_full	first_gradient_norm_sub	loss_error	loss_error_wt	loss_error_wt_scaled	loss_error_wt_rel	loss_error_all	loss_error_sub
7	0.11630030827919642	0.13022035801410675	96.15	96.82999999593099	0.0	0.0	0	0.0	0.0	0	355.8825468301852	0	355.8825468301852	0.0	0.00026656554837245494	0.00026656554837245494	3.256944930069957e-08	8184.52734375	8184.527077184452
8	0.09915222931305567	0.11749392755329609	96.54	97.35833332519532	0.0	0.0	0	0.0	0.0	0	414.09939891414837	0	414.09939891414837	0.0	4.720062133856118e-05	4.720062133856118e-05	6.76418684883749e-09	6978.0185546875	6978.018507486879
9	0.08491448919773102	0.10388261426985264	96.84	97.84833332519531	0.0	0.0	0	0.0	0.0	0	310.8418890568374	0	310.8418890568374	0.0	-2.1543746697716415e-07	-2.1543746697716415e-07	-3.621324962858401e-11	5949.1337890625	5949.1337892779375
10	0.07458759498794873	0.09721158843934535	97.12	98.08833332519531	0.0	0.0	0	0.0	0.0	0	260.1804184259582	0	260.1804184259582	0.0	0.00024417122222075704	0.00024417122222075704	4.792492055840395e-08	5094.86962890625	5094.869384735028
11	0.06417776646415392	0.09168500902801752	97.25	98.43499999186199	0.0	0.0	0	0.0	0.0	0	317.6227561541324	0	317.6227561541324	0.0	0.00017621805363887688	0.00017621805363887688	3.937608467004766e-08	4475.255859375	4475.255683156946
12	0.05896176480253538	0.08972258251011371	97.34	98.58833332926433	0.0	0.0	0	0.0	0.0	0	236.06331586236092	0	236.06331586236092	0.0	-0.00023916037980598048	-0.00023916037980598048	-6.210883883432649e-08	3850.665771484375	3850.666010644755
13	0.052162970586617785	0.08459397607892752	97.46	98.80166665852865	0.0	0.0	0	0.0	0.0	0	382.9043342178493	0	382.9043342178493	0.0	-9.588610146238352e-05	-9.588610146238352e-05	-2.7104034817287704e-08	3537.705810546875	3537.7059064329765
14	0.04649068094889323	0.08275177867114544	97.42	98.96166666259765	0.0	0.0	0	0.0	0.0	0	296.4406797694835	0	296.4406797694835	0.0	-0.00015125897652978892	-0.00015125897652978892	-4.832897823694845e-08	3129.778076171875	3129.7782274308515
15	0.041443917534748714	0.08032343644350767	97.5	99.09833332519531	0.0	0.0	0	0.0	0.0	0	312.0485583034797	0	312.0485583034797	0.0	-0.00017744152501109056	-0.00017744152501109056	-6.361186551695914e-08	2789.440673828125	2789.44085126965
16	0.037794081757466	0.07599161195009947	97.57	99.24833332519532	0.0	0.0	0	0.0	0.0	0	233.38881619955527	0	233.38881619955527	0.0	0.00018462584193912335	0.00018462584193912335	7.424725506046575e-08	2486.63525390625	2486.635069280408
17	0.03538383004665375	0.07611781438887119	97.65	99.29499999186199	0.0	0.0	0	0.0	0.0	0	165.73549060175657	0	165.73549060175657	0.0	0.00011598139053603518	0.00011598139053603518	5.114618449408363e-08	2267.64501953125	2267.6449035498595
