	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm_all
0	6.050870039672851	6.077193170166016	1.09	1.05	1.9111218364287197e-05
1	3.9812893785858154	3.9932446144104006	9.0	9.204	2.5465640760558017e-06
2	3.6441087310791014	3.6808148471832274	13.44	14.07	3.5374955587030854e-06
3	3.318971173248291	3.3673356700897217	19.25	19.922	1.1311833532090532e-06
4	3.1612787798309325	3.214126278305054	21.61	22.536	8.987891987999319e-06
5	3.2006865966796876	3.2653573150634765	23.67	24.74	4.136636569285201e-06
6	2.66974748046875	2.7445630836486816	30.52	31.556	9.817976518888827e-06
7	2.602893857269287	2.688737987136841	32.49	33.85	3.5075076141311e-06
8	2.3562708979034426	2.456733066940308	36.48	38.558	2.5700993404598194e-06
9	2.645239771118164	2.7774623191833494	33.01	34.758	1.8380718643129512e-05
10	2.0379730224609376	2.1820753856658937	41.74	44.624	8.163877339484316e-06
11	2.1261989277648925	2.268340375137329	41.41	43.264	3.864115126361867e-05
12	2.129019493026733	2.290526577949524	41.41	43.834	5.387298574532906e-05
13	2.2593724659729	2.451863631820679	38.98	41.736	2.724030599665639e-05
14	2.2039127324676513	2.412993440246582	40.49	43.292	4.47094489572919e-05
15	2.059457978439331	2.2770090930938722	43.36	45.954	1.7781200881472614e-05
16	1.7965436849212646	2.002629107093811	47.5	51.17	4.7567962262462515e-05
17	1.9275293370056152	2.1379793626785277	44.84	48.036	6.0380660620751314e-05
18	1.7726347079086304	2.0164867679595946	46.66	51.406	4.5444128769389636e-05
19	1.786278126449585	2.036872685050964	46.99	51.408	5.689699818844929e-05
20	1.86603848361969	2.12097135887146	45.44	49.592	5.2906050314049935e-05
21	1.7385716179275512	2.0213864486694337	48.44	53.02	6.887794086374299e-05
22	1.664380241317749	1.9649483274459838	49.17	54.428	4.075731278874173e-05
23	1.5593870171737672	1.8581358907699586	51.54	56.85	7.652515466816112e-05
24	1.7893205755233765	2.134460515975952	47.53	52.866	9.715519132669215e-05
25	1.5180807496643067	1.831905477142334	51.96	57.422	6.074862142213533e-05
26	1.5915919507598877	1.904425535583496	50.74	56.222	7.264697126174724e-05
27	1.379113868789673	1.697013285446167	54.54	60.268	7.609313610146273e-05
28	1.4190016007614137	1.7791548152923584	53.43	60.178	4.975642762872212e-05
29	1.4426726779937744	1.765206357383728	53.75	59.37	8.074920819467479e-05
30	1.3568006771850587	1.70929143409729	54.66	61.25	9.624893056070505e-05
31	1.3019410997772216	1.669738242149353	54.88	62.466	8.009379993723087e-05
32	1.5146721697235108	1.8774637660980225	50.94	57.504	7.36190077077481e-05
33	1.569629485206604	1.9400823539733887	50.59	56.706	7.320720537506986e-05
34	1.4945847901153564	1.8674672571182251	52.04	58.74	6.970558627017454e-05
35	1.3947890297317505	1.7919457973480224	53.61	60.658	0.00012027181185203517
36	1.2890403464126587	1.6828795248031616	55.08	62.432	9.051864969933376e-05
37	1.2941821070861816	1.7171047399520873	54.95	62.974	9.529052258017146e-05
38	1.2872837670135497	1.693032118988037	54.41	62.678	6.112192153295837e-05
39	1.3149128450012206	1.7608292997360229	54.78	63.104	0.00012057499883155742
40	1.3851110194015503	1.853947074508667	54.36	62.02	0.00010134316292464973
41	1.4012026293563842	1.8308925693511964	54.36	61.376	7.824395595434908e-05
42	1.2534957008361816	1.7055976676940918	56.14	64.12	0.00011344866888407523
43	1.2319759190177917	1.6762740478515625	56.12	64.278	0.00010709989641100037
44	1.3241676784133911	1.7633277494430541	54.41	62.394	9.672508952007774e-05
45	1.3025094460296631	1.7474087293624878	54.83	63.014	0.00011309868671105505
46	1.166411501045227	1.6204663953781129	56.85	65.866	0.00011849195302460203
47	1.331828891067505	1.7974862300872803	54.79	62.224	0.00014172601605366708
