	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm_all
0	3.9390953155517576	3.9371329414367677	10.0	9.982	6.3794286688789725e-06
1	1.6115169118499755	1.5977115425109862	40.85	40.434	4.123836333747022e-06
2	1.3963818092346192	1.4062009157180786	49.39	49.596	2.6830807655642275e-06
3	1.132504735221863	1.147261823272705	59.27	60.184	2.283857497786812e-06
4	1.0349232326126099	1.0581655377388	63.43	64.128	1.4302899671747582e-05
5	1.0532272927856445	1.0996351957321167	63.49	64.63	1.848102670010121e-06
6	0.8157740657234192	0.8523009747505188	69.3	70.48	1.0597735069950431e-05
7	0.8129443177986145	0.8597131185531616	71.7	72.606	8.613933459855616e-07
8	0.9450502852249145	0.9840825887680054	69.33	70.854	1.0304412512596173e-05
9	0.8670290841293335	0.9332735473632813	71.26	72.612	5.351941581466235e-06
10	0.6401344902420044	0.7154889081954956	76.4	78.248	1.6431434005426127e-05
11	0.6951149420547486	0.7735347947120667	75.26	77.244	6.878331987536512e-06
12	0.5896976140213013	0.6497608057022095	78.47	80.01	5.4625736538582714e-06
13	0.5828601805114746	0.6537754012107849	78.41	80.066	2.7755320104461134e-05
14	0.4925837940788269	0.5639880562782288	81.21	82.59	3.06348094909481e-05
15	0.510974306678772	0.6020467748641968	80.51	82.786	2.7469128895063477e-05
16	0.518197728691101	0.6124732793807983	80.22	82.294	1.9783008269769198e-05
17	0.5551923546218872	0.6642937759399414	79.02	81.854	4.088452055839298e-05
18	0.5680077210617065	0.6802213158130646	78.73	81.114	5.439958681563439e-05
19	0.43515532678604124	0.5225383249282837	82.16	84.852	2.1839731175532506e-05
20	0.5097828377723694	0.6192279322624207	80.66	83.146	5.0047164222633e-05
21	0.5525069344711304	0.6632942883491516	78.85	81.436	4.8479247539034986e-05
22	0.4055276886844635	0.5001491850852966	83.34	86.084	1.9920431100217684e-05
23	0.5228810107421875	0.6186652258872986	80.18	82.47	7.172390633058967e-05
24	0.5323487491798401	0.659334365940094	80.06	82.644	7.132297467649096e-05
25	0.4024842780208588	0.5037145826339722	82.74	85.854	3.533222002261027e-05
26	0.40055102789878844	0.5207541783332825	83.4	86.388	6.261508565330587e-05
27	0.4571982827472687	0.5775225154876709	81.33	84.136	6.62942645703879e-05
28	0.41016993710517885	0.5230265329360962	83.33	85.97	8.638869314836484e-05
29	0.415289502620697	0.5456341638088227	82.72	85.924	2.6129898287763353e-05
30	0.38863392518043516	0.5023667971372604	83.31	86.222	6.943232619960327e-05
