	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	6.253621365356445	6.2876024932861325	1.04	1.038
1	4.823786730499267	4.853773476409912	2.39	2.416
2	4.547219638214111	4.554734206390381	3.26	3.304
3	4.383015489349365	4.400132951354981	3.95	3.95
4	4.322465620727539	4.339397499084472	5.45	5.516
5	4.223182799987793	4.244692917633056	6.32	6.14
6	4.097450032196045	4.10390115737915	6.79	7.106
7	4.044488518066406	4.064003051757813	8.04	7.974
8	4.015717810668946	4.024398028564453	7.99	8.072
9	3.938706151123047	3.954864457702637	8.62	9.034
10	3.9390765031433106	3.9495581214904787	9.71	9.818
11	3.818797984085083	3.827566616821289	11.08	10.698
12	3.839933652496338	3.8603065200805666	10.78	10.936
13	3.943993266143799	3.9497185188293455	10.27	10.728
14	3.936074015045166	3.9533208209991457	10.17	10.482
15	3.82103958442688	3.833207879638672	11.85	11.75
16	3.7468179291534423	3.7782256156921386	12.64	12.846
17	3.6676742582702637	3.683269398498535	14.24	14.394
18	3.6117332189941407	3.6332020999908448	13.96	14.378
19	3.6555999049377443	3.6895031410217287	15.04	15.756
20	3.8331225318145754	3.854506491088867	13.22	13.632
21	3.653063724899292	3.7064095077514647	15.64	16.584
22	3.567771364212036	3.5957817115783692	16.31	16.44
23	3.5045873344421388	3.536512382888794	17.35	18.178
24	3.4982894538116454	3.5326357162475586	18.43	18.678
25	3.6266479515075685	3.645556342315674	17.93	18.21
26	3.3789379723358155	3.409712488937378	20.0	19.858
27	3.39136726020813	3.441104852294922	20.1	20.308
28	3.371206923828125	3.4145310890197753	20.36	21.074
29	3.227252215423584	3.2763987453460692	22.31	22.598
30	3.263625421295166	3.2987453300476073	22.42	22.724
31	3.2588135028076173	3.299807537841797	22.28	22.514
32	3.2509343090057374	3.308883515548706	22.74	23.384
33	3.3667859159851075	3.4252889629364014	22.19	23.106
34	3.0653343620300295	3.1072697086334227	25.26	26.012
35	3.3947667781066895	3.429146216583252	22.98	23.76
36	3.008062697906494	3.0588651042938233	26.98	27.45
37	3.116238005371094	3.1573953426361085	25.45	25.658
