	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_scaled	first_gradient_norm_wt_rel	first_gradient_norm_all	first_gradient_norm_sub	loss_error	loss_error_wt	loss_error_wt_scaled	loss_error_wt_rel	loss_error_all	loss_error_sub
0	3.906700630569458	3.9046814308166504	10.0	9.982	28234.167218790626	3928.044643157334	28527.240038129876	0.12529692342833224	31349.889013069904	28337.943758345376	191295.3125	16907.25	192756.890625	0.07964008301496506	212295.734375	195388.484375
1	4.437421748046875	4.507263904571533	14.78	14.966	8803.120674852873	551.4122411590632	8788.230895985515	0.0567471994005418	9716.994794174787	9294.796815655342	240546.71875	21035.25	240736.6875	0.07933400571346283	265147.96875	244112.71875
2	2.2427268938446043	2.2402792392730713	15.17	15.418	2673.1945589791053	136.97492107768582	2743.424124492992	0.04500998236485224	3043.212058324375	3000.9738438942773	105273.65625	2160.796875	105933.2265625	0.018395474180579185	117463.5	115302.703125
3	2.033298195114136	2.0278160221099855	23.27	22.906	2417.2319603490864	145.48897130620418	2712.1636758972454	0.04825150528120605	3015.221400002045	3034.411907322779	91053.3671875	525.2421875	92448.0078125	0.0051162452436983585	102661.6484375	102136.40625
4	1.9369245431518554	1.931005739212036	26.38	26.79	5147.301373503805	325.3841323397282	4909.3685852495155	0.05977489123296308	5443.491834583112	5351.147934222148	87074.234375	2010.6796875	87567.4296875	0.02071291208267212	97073.734375	95063.0546875
5	2.115705647583008	2.1046468101501463	25.43	24.926	7278.245055963582	225.63975214423687	7613.975198441336	0.026653776443038336	8465.582827501032	8519.230832130052	88970.9765625	1836.5703125	91131.296875	0.018174340948462486	101052.9296875	99216.359375
6	1.8384259469604491	1.8211825790405274	31.07	30.686	3585.985767375388	334.0228882621837	3510.030673355452	0.08558751485712583	3902.705772211981	3942.422989092264	82540.203125	1993.2890625	83484.390625	0.021539999172091484	92538.9609375	90545.671875
7	1.8301731968688966	1.81699386138916	31.73	31.27	5201.710942635644	207.16196947620298	5147.2878424105	0.03627444808945411	5710.961307125446	5640.420194529563	80844.078125	1903.6796875	81745.421875	0.021008038893342018	90616.7265625	88713.046875
8	1.9896624715423583	1.9824063430786132	34.07	33.058	6788.371138763899	243.33496118922895	6846.753709294829	0.031966536018757825	7612.177967811121	7658.410686073842	86843.1484375	3048.7265625	88525.5546875	0.03110216185450554	98022.9765625	94974.25
9	1.8103759159088135	1.7955481063842773	33.79	33.26	6676.923204004506	342.4964259388919	6700.301835533849	0.046131255867778324	7424.389808952029	7247.293256392708	81112.1640625	5042.0546875	82197.8359375	0.05554715916514397	90770.703125	85728.6484375
10	1.8434609077453614	1.8319136100769042	33.65	33.286	7851.67416485731	246.83456310020142	7822.451652541898	0.02839311825540547	8693.464412039673	8713.995142167134	81814.3984375	3081.4765625	82979.765625	0.0335463248193264	91857.3515625	88775.875
11	1.969374858932495	1.9699349515914917	31.56	31.21	8126.457576365045	384.8753685840827	8192.653774271523	0.04235486212762951	9086.92294698831	8950.598271051513	82087.984375	3339.4453125	83485.75	0.036144744604825974	92390.8984375	89051.453125
12	1.7008213671875	1.6983174043655396	38.42	38.19	7600.25620487552	136.32192483565538	7502.570801785861	0.016353556393881228	8335.919206336119	8334.722469498729	76173.2734375	2823.78125	76999.7578125	0.0331268236041069	85241.53125	82417.75
13	1.689314083213806	1.6744400321960449	39.5	39.47	6356.99811729364	249.95117660282548	6467.396444038735	0.03478460691589949	7185.683518205197	7187.700687611076	74060.6640625	4340.375	75960.6328125	0.05172135308384895	83918.4375	79578.0625
14	1.5763453640365601	1.5833546287536622	43.18	43.176	5645.0375473605245	225.75104102834763	5662.9620386528195	0.0358985575424505	6288.582508124294	6260.635650550235	69093.140625	4676.4296875	70752.234375	0.059882067143917084	78093.9921875	73417.5625
15	1.5008027503967285	1.4931438428878785	44.68	44.708	4968.966599034631	279.7591751638775	5043.423618548913	0.04997168026955647	5598.354381017505	5556.896948980947	66117.5	3631.5	67850.703125	0.04842893034219742	74986.171875	71354.671875
16	1.6789368633270263	1.6862174781799317	42.79	42.59	6701.2115489043545	218.7024822381943	6805.1976975022035	0.02891529974670724	7563.5557699207075	7587.054582057265	72027.1640625	3400.203125	73890.5625	0.04160653054714203	81722.8203125	78322.6171875
17	1.490543964691162	1.4986006189346313	47.87	47.672	5822.32512423805	496.6394910302495	5724.118809733028	0.07830826820731972	6342.107958707571	6199.667479877252	62329.02734375	3791.546875	63735.60546875	0.053860217332839966	70396.0546875	66604.5078125
18	2.32220700050354	2.3486934846878054	34.06	34.534	10699.159845875742	295.01611715852636	10644.089985376508	0.02492026064219446	11838.40415613516	11946.679478601727	91224.7265625	3094.953125	92965.421875	0.03006238117814064	102951.03125	99856.078125
19	2.067298812637329	2.0714628398895263	34.07	33.514	8768.123146366032	149.90990110517868	8737.415180455924	0.01544769317513794	9704.35516847583	9670.62078471213	80364.7421875	4024.2890625	81754.390625	0.044520869851112366	90391.0703125	86366.78125
20	1.3296554516220094	1.331852897834778	51.59	51.778	4126.499841963966	267.0820591831326	4120.279438218011	0.05816669351397935	4591.666519929384	4720.513047397891	59213.8125	2386.89453125	60489.203125	0.03565455228090286	66945.015625	64558.12109375
21	1.2742748603439331	1.2792855945587158	53.73	54.278	2360.3579249789454	366.5020279326612	2423.013959570946	0.13685628295490002	2678.0065921667565	2575.4893976990707	56508.64453125	3227.4765625	58593.08984375	0.04984918236732483	64744.82421875	61517.34765625
