	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_scaled	first_gradient_norm_wt_rel	loss_error	loss_error_wt	loss_error_wt_scaled	loss_error_wt_rel
161	1.5766370832061767	1.8237801633834838	53.13	58.108	338.60140454236193	246.90408674549886	338.6632669291839	0.6759891898571443	66086.375	13693.9765625	71247.1875	0.17637334764003754
162	1.5760991900634767	1.8194024381637572	53.16	58.078	393.3599732594591	243.578073979043	397.08204211218356	0.5576497780080738	66095.5078125	11395.21875	71232.1484375	0.14631634950637817
163	1.5836975982666015	1.8324277856826783	53.2	58.02	385.4825850698168	205.83807941404825	380.14848679024067	0.4919891547050666	66298.71875	12495.41796875	71399.953125	0.16031090915203094
164	1.5827672887802124	1.83375488986969	52.91	57.942	471.6776784563162	235.70432313282464	476.36527078567127	0.44804756801519846	66171.671875	11769.5625	71264.4296875	0.15113408863544464
165	1.5689902242279052	1.8195101919174195	53.36	58.394	430.11966136959876	235.9234270760622	428.96802881126416	0.5065555076740295	65923.7265625	12739.875	71168.546875	0.16404549777507782
166	1.5643165448760987	1.8188672571182252	53.26	58.298	380.43012937204946	265.554836982199	386.42823142651696	0.6323392158964254	65623.7578125	11681.375	70789.453125	0.15100601315498352
167	1.5773449895858764	1.8320392715454101	52.84	58.302	424.1872454735639	233.7749876308034	429.5908191653878	0.49844264867718985	65793.171875	12926.5546875	70999.1875	0.16689826548099518
168	1.570462953224182	1.8200371757507323	53.2	58.242	418.3393409700282	238.7653746046869	421.45830703426304	0.5186805535658778	65804.734375	12212.5859375	70921.5078125	0.1576942354440689
169	1.5755442111587525	1.8336357397079468	52.92	58.368	529.5894176754041	254.67847521616042	538.246670539692	0.43554418245113413	65906.0625	12414.6953125	71084.9375	0.15997524559497833
170	1.6114985790634155	1.8647046230316162	52.31	57.394	537.1556253519777	243.25054239720635	536.28996990375	0.4135663489113852	67403.1484375	12375.8125	72636.859375	0.15599921345710754
171	1.5934778899383546	1.8420143253326415	52.65	57.744	459.6701896203658	267.2445148167189	453.5658099603523	0.5386835792706639	66588.75	10669.5625	71692.6953125	0.13596467673778534
172	1.580792520980835	1.8275959442138672	53.17	57.964	423.28750450026206	251.6786214282625	418.5236634929215	0.5525522666646737	66548.1953125	11347.484375	71736.171875	0.14465340971946716
173	1.583906971435547	1.8374166986465454	53.25	57.91	411.7040134063247	240.65769984165598	403.16361030272583	0.5452919018441073	65947.40625	11166.484375	71142.5703125	0.143515944480896
174	1.582312712020874	1.834296954345703	52.96	58.096	378.0257590789771	243.46030089365823	374.3873267591478	0.5970405643400356	65999.78125	11162.6484375	71302.140625	0.14313967525959015
175	1.5813948238372804	1.8345405277252198	53.09	58.222	385.23406448827205	252.38079696066245	371.91774038042416	0.6276064533826754	65726.609375	11585.8359375	71052.2578125	0.1491873562335968
176	1.57358649848938	1.8287940200805664	53.33	58.37	352.10372218224916	261.76062263424353	339.9307845374609	0.7120566359074831	65775.046875	12075.0546875	71001.5	0.1557089388370514
177	1.5727738928985595	1.8276420965194702	53.51	58.452	315.2546728738489	240.76878493831614	308.5691091811238	0.7186969226979661	65552.515625	10703.796875	70840.90625	0.1380728781223297
