	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	3.919141699371338	3.916942079925537	9.99	9.978
1	3.06865937789917	3.0807329544067383	14.62	14.742
2	2.1692667581939697	2.164114072418213	19.14	19.124
3	1.9660375782775878	1.9625624347686768	26.37	26.264
4	1.8861100702285767	1.882432667350769	27.49	27.268
5	2.040893714828491	2.0247005779266356	26.61	25.858
6	1.7808956060791015	1.766186359977722	31.37	30.926
7	1.6741814608383179	1.6596612504959107	37.31	36.888
8	1.7269133618164063	1.7196002927780152	35.69	35.018
9	1.7525933429718017	1.7448575252532958	38.14	38.076
10	1.8589375639343262	1.8499125064849853	36.09	35.908
11	1.6436403674316407	1.6474862508773804	42.36	42.682
12	1.5396731148529053	1.5334886726379395	42.57	43.264
13	1.5329689429092408	1.5287872024536133	44.2	43.95
14	2.03827856552124	2.0307147552490235	40.63	40.746
15	1.6418373874664307	1.6508594886779786	45.44	45.87
16	1.5443931427383424	1.5439770235061645	45.25	45.466
17	1.3392229993057252	1.3457077802658082	50.17	50.946
18	1.6635838484954835	1.658289365005493	44.15	44.39
19	1.7367267031478881	1.75972737159729	46.91	47.036
20	2.0110899394989015	2.019292307662964	33.91	33.554
21	1.3532685620880127	1.365947922515869	52.99	53.288
22	1.2925053206634523	1.2982377262115479	55.34	54.82
23	1.2007270274734496	1.2062083730697633	58.32	58.584
24	1.1930036243057252	1.2021182228088378	57.62	58.39
25	1.2860360980987549	1.305358873939514	54.18	54.77
26	1.2135859627532959	1.241631809425354	57.8	58.678
27	1.5351096297454834	1.559704472541809	50.97	51.244
28	1.3013957320404053	1.3267785720825196	56.07	57.532
29	1.096038000869751	1.112947873687744	61.42	61.918
30	1.090172377357483	1.1100180109024047	61.72	62.134
31	0.9802070163154603	0.9962343082427979	65.31	65.57
32	1.3569972090530396	1.373599843788147	57.18	57.766
33	1.1933706676483153	1.2244385610580444	58.4	59.366
34	1.0946126472473146	1.118816114616394	61.31	62.216
35	0.9441536008834839	0.9588657086372375	66.24	66.82
36	0.9332179553985596	0.9678893353462219	66.59	67.984
37	1.0288942809677124	1.063391637802124	63.32	64.364
38	0.9960398970794678	1.0143915844917297	65.02	65.954
39	0.9626392391777039	0.9871343454360962	66.11	66.932
40	1.0996583843803405	1.1247346105575562	62.59	63.292
41	0.8915423527145385	0.9205222757339477	68.98	69.972
42	1.5456741849517823	1.5779717882156372	53.95	54.254
43	1.3364031949615478	1.3879961545944215	58.56	59.266
44	0.9841993920898437	1.0178348014831542	66.01	67.124
45	1.0086055711746216	1.0576951105117798	65.9	67.022
46	0.8670782654953003	0.9115363726615906	70.51	70.906
47	0.9739386009597778	1.0013948022842407	66.5	67.158
48	0.9270121004486084	0.9707813041687011	67.51	68.78
49	1.2186502066802978	1.2559134318351746	60.31	61.178
50	0.9014814901542664	0.9317868524551391	67.7	68.886
51	0.8934806674003601	0.9283283366203308	68.73	70.002
52	0.8747123170852661	0.907538327884674	70.0	70.4
53	0.8121265083885193	0.8460662232398987	71.27	72.004
54	0.8454969941902161	0.8864223114013672	70.0	71.168
55	0.8491051273345948	0.8927471305847168	70.37	71.46
56	0.7993120895957947	0.838988286113739	71.36	72.198
57	0.9509645872879028	1.001806918334961	68.78	69.052
58	0.7776847061538696	0.8098245580673218	72.82	73.66
59	0.9195004796981812	0.9706424806594849	68.54	69.972
60	0.7763781433486938	0.8154181360244751	72.01	72.944
61	0.6815960396194458	0.7322295985221863	74.95	76.458
62	0.6704225063896179	0.7252195618629456	75.02	76.826
63	0.6705313701629638	0.7266589666366577	75.29	77.172
64	46.29076547241211	46.559152947998044	12.06	12.184
65	47631.964554375	46383.09211875	11.02	11.034
66	1979567.76256	1928188.2828	10.0	10.0
