	Train Loss	Test Loss	Test Accuracy	Train Accuracy
0	6.260263279266358	6.294668781280517	1.04	1.032
1	4.887371106109619	4.9168450569152835	2.15	2.36
2	4.539363695220947	4.561073091888428	3.1	3.138
3	4.3850955978393555	4.398745852661133	3.61	3.756
4	4.277895489959716	4.288798885345459	4.85	4.826
5	4.194643859252929	4.207062908935547	6.35	6.292
6	4.062802232513428	4.074438420104981	7.75	7.584
7	4.136688647384643	4.153455019378662	6.83	7.194
8	4.045718675842285	4.062685397338867	7.97	8.654
9	3.8973828002929687	3.9077459259033205	9.74	9.958
10	4.029809481506348	4.0529651439666745	8.21	8.434
11	4.101233307342529	4.126906981658935	8.58	8.99
12	3.939571416015625	3.9525266109466552	9.98	10.072
13	3.898288067932129	3.913268843460083	10.39	10.234
14	3.8288088383483885	3.8610142711639406	10.83	11.484
15	3.808046138458252	3.824660659790039	12.22	12.138
16	3.715299151535034	3.749947706604004	13.58	13.694
17	3.699368671875	3.721500397491455	13.68	13.864
18	3.8514645014190676	3.8880466091156007	12.19	12.936
19	3.7914352825164794	3.8369882476806643	13.69	14.512
20	3.714605441207886	3.7183530223846435	14.4	14.402
21	3.546984673309326	3.591148408508301	17.25	17.784
22	3.573385301361084	3.609020858383179	16.46	16.72
23	3.5054913426971437	3.5332007484436034	19.41	19.676
24	3.5758546588897704	3.614377302932739	17.84	18.372
25	3.7975171324920654	3.8321470710754393	16.91	17.112
26	3.719211166687012	3.747698327255249	17.22	17.354
27	3.504055363235474	3.547082434463501	18.5	18.484
28	3.335012670135498	3.3877789375305176	21.48	22.088
29	3.301428900756836	3.3461036125183106	20.78	21.222
30	3.3926796154785155	3.4334177150726317	20.13	20.746
31	3.6851929595947266	3.710200706100464	19.35	19.602
32	3.1995707593536378	3.2385184440612793	22.94	23.622
33	3.285536027984619	3.3332079231262206	22.65	23.304
34	3.378605933303833	3.432507275009155	21.58	22.308
35	3.2672121604156494	3.3328798374176025	23.21	23.628
36	3.062516028366089	3.1088284553527834	25.13	25.672
37	3.2673968825531006	3.331244033813477	24.37	25.004
38	3.3617212456512453	3.4142548080444337	22.82	23.96
39	2.968805380630493	3.017541632461548	26.55	27.642
40	3.151769924468994	3.200339282989502	25.18	25.768
41	3.1914909310913084	3.2551017768859865	24.78	25.646
42	3.0798668501281736	3.153174867248535	26.21	26.938
43	3.3330422853088377	3.412254904937744	24.9	25.704
44	3.1967737101745604	3.265240599060059	25.83	26.296
45	3.489518485031128	3.5516769523620604	23.94	24.532
46	2.9734493334198	3.0441190937042237	29.03	30.454
47	3.1595760020446777	3.2392425956726076	25.86	27.046
48	2.776753627700806	2.853646883392334	30.28	31.26
49	2.8339887182617187	2.9175670516967775	30.43	31.908
50	2.7289402408599854	2.7996323139190675	31.47	31.974
51	2.8200875855255125	2.8833133674621583	30.92	31.972
52	2.9413337771606445	2.98922649269104	29.48	30.482
53	2.7262109440612794	2.7941617214202883	31.81	33.032
54	3.1521723552703858	3.2184518657684325	26.87	28.21
55	2.964374282989502	3.0592478721618654	30.79	31.172
56	3.069240180206299	3.1923574180603027	29.48	30.798
57	2.951013182601929	3.0709603328704835	29.52	30.922
58	2.800268908920288	2.897421842956543	31.7	33.356
59	2.734848112640381	2.824067520904541	32.53	33.95
60	3.1121900746154787	3.193346097946167	27.6	28.76
61	2.845053184967041	2.9824822216033935	32.71	34.36
62	2.667956830291748	2.770342827606201	33.33	35.346
63	2.625157852935791	2.7425430564880373	34.3	36.062
64	2.8602795809936525	2.9970622440338133	31.46	33.06
65	2.743473425140381	2.837657227706909	32.94	35.054
66	2.5771148322296145	2.678482455825806	35.27	36.584
67	2.5457022493743895	2.644241442108154	35.84	37.03
68	2.7535781748962402	2.873329001235962	33.9	34.894
69	2.6678540377044677	2.762656164932251	34.78	35.974
70	2.480826711883545	2.5691752376556396	37.66	38.746
71	2.4201029393005373	2.528355644226074	37.04	39.42
72	2.4066102291870117	2.5110424282073973	36.84	38.456
73	2.6347312844085695	2.75787770652771	36.15	37.326
74	2.6608138736724856	2.800874890136719	35.25	36.498
75	2.4340161323547362	2.5691213218688964	37.7	39.592
76	2.400870662689209	2.520379030609131	37.93	40.502
77	2.4406175945281983	2.5736938846588133	36.34	38.588
78	2.5728086279296876	2.6907377628326414	35.4	37.166
79	2.4050969968414306	2.525598168182373	38.62	39.976
80	2.569057000961304	2.6965022750854493	36.25	38.078
81	2.3891600508117676	2.510448269081116	38.72	40.282
82	2.4600617477416993	2.582671993637085	38.04	40.164
83	2.6086997984313967	2.739920763015747	35.78	37.492
84	2.563278387069702	2.6910007774353026	36.86	38.512
85	2.46217842880249	2.582720026397705	38.23	39.878
86	2.331673105316162	2.462516751098633	40.22	41.866
87	2.2796367991638182	2.4232902992248535	40.1	42.392
88	2.305885595703125	2.4442577198028563	39.04	41.728
89	2.481428434753418	2.6359665073394773	38.61	40.312
90	2.6025927367401125	2.7387295009613037	35.7	37.238
91	2.3532183905792237	2.493598109817505	39.5	41.882
92	2.2109161815643312	2.3514273511886596	41.3	43.444
93	2.49451451461792	2.63218482170105	38.76	40.68
94	2.273346371154785	2.404377337265015	40.05	42.46
95	2.407136115875244	2.527325365829468	39.13	40.836
96	2.7281779334259033	2.8548710388183594	34.41	36.056
97	2.2676243962860108	2.4217561164855956	40.79	43.08
