	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_scaled	loss_error	loss_error_wt	loss_error_wt_scaled
0	6.2623970109558105	6.296902599334717	1.04	1.036	13804.531454973683	82.90218069523134	13667.015979762074	302419.84375	-291.3125	301220.71875
1	4.7559063610839845	4.765787520599365	2.63	2.556	1709.0987592494325	140.67449905591332	1732.7056953514866	214216.859375	3313.71875	215542.59375
2	4.467748636016846	4.47177534866333	3.74	3.872	777.0952807879842	60.17865368076574	864.2871620023801	200039.25	1415.5	201379.5625
3	4.362159208068848	4.373290635681152	4.21	4.324	844.2812423046736	117.17791830090697	979.8497776178621	194635.59375	1176.34375	196038.6875
4	4.2715520948791506	4.280714134216309	5.88	5.82	1030.9979639829428	108.65421704052328	1092.8629687099788	190560.15625	2952.625	191972.46875
5	4.229919813690185	4.240968096160889	5.52	5.468	1598.282106309064	284.48116491044925	1617.8306511641895	188747.71875	3275.40625	189873.359375
6	4.163875444641113	4.171364237213135	7.15	6.77	2092.3911770884883	131.0984076966344	2120.788640253819	183749.421875	3829.984375	184919.953125
7	4.265354829406738	4.2832138618469235	5.61	6.056	2797.501844307817	246.3469944170289	2872.498565774914	186771.09375	4969.046875	188564.125
8	4.0252345817565915	4.0410346488952635	8.58	8.48	1931.9706324667552	213.6546497272032	1979.0215048205412	179115.078125	6719.328125	180754.90625
9	4.047378742980957	4.064181742858887	8.76	9.098	2866.6354811159176	232.62118297043835	2971.688344599003	180994.578125	7441.5625	183174.203125
10	4.961086059265137	5.047101634216308	6.66	6.462	5468.420264406985	353.5070847982101	5609.054136863329	222849.703125	11971.390625	225599.625
11	4.210257141265869	4.2161761596679685	7.65	7.626	3554.1837605854057	309.80807493693675	3600.5670183832726	187805.1875	8576.71875	189168.40625
12	3.944232478942871	3.9405381450653074	9.91	10.44	2121.100462523451	227.1311662260713	2125.590192289045	172290.5625	8770.0625	173585.125
13	3.8027187661743165	3.8214192527771	10.86	11.482	2197.885549561605	188.92944356171523	2173.3130048103576	169742.28125	8744.859375	170853.0625
14	3.728095774383545	3.74722098236084	11.76	12.078	1853.530288930055	225.8007645971457	1852.6154158002898	168284.03125	8051.625	169445.15625
15	3.6880911207580565	3.7145947360992433	13.54	13.778	1937.6963829138535	237.6485323641957	1954.8946072332049	165200.421875	10029.59375	166731.5
16	3.7470624280548095	3.770715636062622	12.91	13.318	2551.1923474345435	366.5762234716416	2572.582149719759	166267.375	11377.375	167904.75
17	3.6896582688903807	3.722833530044556	13.74	14.072	2455.2131278395527	292.65424846307496	2459.750074585323	163841.65625	10138.96875	165207.890625
18	3.6568783209991453	3.6939671222686767	14.32	14.7	2226.439989221739	323.39589861550667	2229.6143804129415	162048.75	14079.28125	163566.6875
