	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_scaled	loss_error	loss_error_wt	loss_error_wt_scaled
0	3.940360641326904	3.938519570159912	9.99	9.984	28448.916728868662	2911.2486272078613	28664.425224097395	193113.046875	23673.09375	195249.6875
1	6.094770746612549	6.214251742172241	16.88	16.154	11493.242506599654	811.1126042960447	11489.60302754497	272022.5625	39128.8125	273221.59375
2	2.2392510079193113	2.232170817565918	18.24	17.728	2398.726173042064	524.8753759133739	2499.278438486154	101517.40625	2001.890625	102036.078125
3	1.9612697329711914	1.9556085037231445	24.78	24.634	2793.53950734374	322.44594832869717	2667.9558119300445	87687.0078125	1649.9765625	88252.15625
4	1.8767759771728516	1.8654901235580443	27.69	27.572	4358.902133922689	423.43835923578195	4410.582594721262	82874.0625	1812.015625	84024.703125
5	1.9292806272125245	1.9266954507827758	27.22	26.37	6068.311607617543	322.325155696816	6060.700787349103	85790.796875	1459.84375	86636.9609375
6	1.7554582085418702	1.7400031131744385	33.83	33.31	4365.382842518513	448.5213714618599	4355.94123630649	78395.34375	1757.125	79243.984375
7	1.8551976698303223	1.8432702121734619	33.11	32.784	6772.44030721038	290.0549598162101	6800.398434546968	81334.9375	2554.4765625	82491.546875
8	1.6425946923446655	1.6471205476760864	38.96	39.054	4247.792073756687	356.1937952841858	4214.501704825211	74963.0625	3514.7265625	76016.65625
9	1.9025424111938476	1.8902374389648438	35.68	34.836	7314.692481627551	262.70475907288244	7292.420234732436	81469.0546875	4891.6015625	82704.234375
10	1.8467808559417724	1.8429378929138183	36.11	36.154	7731.885264821302	376.0071649463208	7763.948377233504	80390.8515625	4202.4453125	81905.5078125
11	2.008824591369629	1.9975870428085327	38.84	38.894	7501.93230892464	218.54735241490962	7567.237809234498	86156.3359375	4846.2578125	87913.0078125
12	1.8222841301727295	1.8343730583190918	38.48	38.854	8866.82171928907	257.76179427736537	8831.566877418596	78293.3125	3798.5078125	79822.3515625
13	1.4860633154296874	1.4998885316848756	46.5	47.074	3522.7369002158	271.5758759048376	3375.295815022807	64370.53125	2961.8359375	66028.765625
